,open,high,low,close,volume
2020-01-02,44.28,44.39,42.95,43.45,4590000
2020-01-03,42.81,43.22,42.66,42.68,3540000
2020-01-06,42.83,42.90,41.85,42.03,3880000
2020-01-07,41.77,41.92,41.38,41.56,4750000
2020-01-08,41.72,42.08,41.37,41.74,3160000
2020-01-09,41.88,42.58,41.82,42.57,2740000
2020-01-10,42.53,42.74,42.09,42.16,1820000
2020-01-13,42.29,42.82,42.08,42.53,1480000
2020-01-14,42.41,42.96,42.32,42.56,2740000
2020-01-15,42.47,42.90,42.37,42.65,1730000
2020-01-16,42.88,43.45,42.78,43.44,3350000
2020-01-17,43.68,43.88,43.25,43.68,2130000
2020-01-21,42.46,42.75,41.03,41.60,3560000
2020-01-22,41.75,42.24,41.55,41.66,2450000
2020-01-23,41.46,42.30,40.77,42.05,2600000
2020-01-24,41.88,41.90,40.60,40.94,1390000
2020-01-27,40.00,40.44,39.51,40.07,1630000
2020-01-28,40.41,40.79,40.05,40.50,1530000
2020-01-29,40.81,40.95,40.37,40.61,1700000
2020-01-30,40.40,40.70,38.55,40.02,3560000
2020-01-31,39.57,39.73,38.59,39.00,2800000
2020-02-03,39.26,39.72,38.88,39.47,2810000
2020-02-04,40.19,40.26,39.45,39.70,2270000
2020-02-05,40.14,41.83,40.10,41.74,3110000
2020-02-06,41.84,41.87,41.24,41.67,2870000
2020-02-07,41.31,41.56,41.11,41.22,2680000
2020-02-10,40.93,41.31,40.70,40.95,1100000
2020-02-11,41.14,42.11,41.09,41.98,1640000
2020-02-12,42.28,42.77,41.70,41.94,2100000
2020-02-13,41.28,41.32,40.49,40.75,2040000
2020-02-14,40.76,41.06,40.49,40.53,1270000
2020-02-18,40.21,40.94,40.01,40.92,3040000
2020-02-19,41.08,41.28,40.40,40.47,1260000
2020-02-20,40.23,41.12,40.11,40.55,1990000
2020-02-21,40.50,40.92,39.88,40.85,2140000
2020-02-24,39.08,39.23,37.48,37.57,3000000
2020-02-25,37.61,37.76,34.78,34.95,2960000
2020-02-26,35.34,35.89,34.85,34.86,3860000
2020-02-27,33.78,34.67,32.67,32.72,5570000
2020-02-28,31.70,33.42,31.34,33.25,5370000
2020-03-02,33.47,34.22,32.15,34.19,3970000
2020-03-03,33.90,34.85,32.16,32.58,3680000
2020-03-04,33.51,33.60,32.50,33.59,2880000
