,open,high,low,close,volume
2018-01-02,122.74,126.33,122.48,125.51,1211378
2018-01-03,126.09,127.11,125.81,126.2,677929
2018-01-04,126.44,128.83,125.56,128.66,841417
2018-01-05,128.37,128.98,126.64,127.82,889840
2018-01-08,127.71,128.75,126.32,128.24,759740
2018-01-09,128.21,128.99,126.84,127.61,514345
2018-01-10,127.87,128.22,125.26,125.55,796210
2018-01-11,126.25,128.74,125.86,127.65,1088902
2018-01-12,128.01,130.16,126.98,127.14,1458210
2018-01-16,127.68,127.79,125.73,125.83,1117867
2018-01-17,126.25,128.0,125.16,126.45,634541
2018-01-18,126.2,126.63,124.27,124.64,944485
2018-01-19,124.06,124.71,122.65,124.04,827499
2018-01-22,124.52,126.82,124.21,126.8,745471
2018-01-23,126.63,127.13,124.56,125.05,1022347
2018-01-24,125.5,125.92,123.88,124.23,1174123
2018-01-25,124.5,125.34,119.57,120.25,1330552
2018-01-26,120.71,121.81,119.34,119.78,842767
2018-01-29,119.23,120.07,117.89,118.68,980413
2018-01-30,117.01,117.01,112.6,114.33,1639677
2018-01-31,114.05,114.93,111.13,112.2,1046741
2018-02-01,113.04,115.59,111.97,113.41,1064486
2018-02-02,112.2,112.2,109.8,110.95,1145064
2018-02-05,110.23,111.89,107.83,107.91,1138680
2018-02-06,107.82,110.2,105.96,108.46,1221211
2018-02-07,108.44,110.24,105.71,105.91,1363361
2018-02-08,105.87,106.44,100.18,100.19,1455892
2018-02-09,100.72,101.09,95.56,100.19,1768366
2018-02-12,101.49,103.4,99.99,100.9,992548
2018-02-13,100.03,100.86,97.74,99.78,1497174
2018-02-14,99.25,102.51,98.42,102.19,1552570
2018-02-15,98.05,99.53,95.72,98.76,3737745
2018-02-16,98.26,101.04,98.18,98.73,2012493
2018-02-20,99.69,100.72,97.67,98.37,1336279
2018-02-21,98.08,98.25,95.1,95.13,1627158
2018-02-22,95.6,97.39,93.76,95.44,1491986
2018-02-23,96.31,98.77,96.0,98.7,1248398
2018-02-26,98.76,99.3,97.6,98.34,939579
2018-02-27,98.31,99.19,97.19,97.92,1549832
2018-02-28,98.11,98.75,96.09,96.09,1235660
2018-03-01,95.97,96.98,94.54,95.35,1199012
2018-03-02,94.88,96.39,93.96,95.85,997637
2018-03-05,95.41,97.37,95.41,96.69,1143087
2018-03-06,97.47,97.59,93.32,93.41,1255820
2018-03-07,92.9,95.57,92.12,92.69,1621229
2018-03-08,93.33,93.86,92.05,93.69,1096870
2018-03-09,94.54,94.55,92.46,92.89,1348649
2018-03-12,92.8,95.49,92.62,95.38,2145674
2018-03-13,95.81,95.89,92.18,92.56,1254149
2018-03-14,92.79,94.78,92.46,93.54,1425627
2018-03-15,94.01,95.23,91.71,92.14,949154
2018-03-16,92.16,93.68,91.5,92.48,1535325
2018-03-19,91.46,91.84,89.73,91.65,1232025
2018-03-20,92.24,92.82,91.14,91.62,1070637
2018-03-21,91.92,95.27,91.82,94.67,808832
2018-03-22,93.39,95.01,93.2,94.25,1292172
2018-03-23,94.36,95.38,93.0,93.21,1128084
2018-03-26,94.92,95.08,93.46,94.77,1031563
2018-03-27,94.7,94.93,93.27,93.63,862827
2018-03-28,95.02,95.25,92.43,92.75,1500858
2018-03-29,93.12,93.81,92.25,93.5,1823675
2018-04-02,93.2,93.4,87.98,89.81,1232443
2018-04-03,90.75,91.54,88.65,91.43,1017398
2018-04-04,90.14,91.68,89.89,91.6,1093532
2018-04-05,92.0,94.37,91.74,93.95,1761506
2018-04-06,93.55,94.3,89.29,90.46,2501183
2018-04-09,90.85,92.21,90.3,90.44,1457820
2018-04-10,91.96,95.11,91.09,94.12,1184504
2018-04-11,94.12,95.31,93.15,94.93,1163356
2018-04-12,94.92,95.27,93.27,93.54,838030
2018-04-13,93.8,94.65,93.25,93.98,1738497
2018-04-16,94.59,97.06,93.71,96.72,1501934
2018-04-17,96.72,96.77,95.6,96.32,1007027
2018-04-18,97.48,102.37,97.01,100.97,2108719
2018-04-19,101.08,101.86,99.67,100.44,1461602
2018-04-20,100.06,101.49,98.57,100.61,1079874
2018-04-23,100.23,102.54,99.63,102.39,1031738
2018-04-24,102.39,102.9,99.69,100.59,1274797
2018-04-25,99.76,101.83,99.22,101.39,722544
2018-04-26,101.87,102.24,101.02,101.85,659962
2018-04-27,101.25,101.41,100.05,100.23,630198
2018-04-30,99.84,102.19,99.57,100.59,894266
2018-05-01,99.86,100.29,98.77,99.84,790986
2018-05-02,99.58,100.2,97.76,98.51,1389006
2018-05-03,98.13,98.29,95.63,96.33,1013863
2018-05-04,96.22,97.93,95.76,97.31,809946
2018-05-07,98.19,101.47,97.14,97.3,1161156
2018-05-08,97.01,100.14,95.4,100.06,1540411
2018-05-09,101.94,102.5,96.9,97.73,2553795
2018-05-10,97.59,98.65,95.27,97.82,1714000
2018-05-11,97.95,100.17,97.87,98.54,1839608
2018-05-14,98.44,98.49,96.29,96.92,1460903
2018-05-15,96.87,98.55,96.07,98.41,1505526
2018-05-16,98.4,99.3,97.41,98.99,982407
2018-05-17,99.02,100.08,98.19,99.39,1412956
2018-05-18,99.24,99.57,97.2,98.3,1046122
2018-05-21,99.05,99.89,98.56,98.99,1213854
2018-05-22,99.28,102.09,98.68,99.35,2567258
2018-05-23,98.46,98.46,94.95,95.64,1641796
2018-05-24,94.43,95.44,93.18,94.95,1361334
2018-05-25,92.76,93.0,90.76,92.08,1990719
2018-05-29,91.11,92.49,90.36,90.97,1446058
2018-05-30,92.32,95.61,92.15,94.86,1067890
2018-05-31,93.95,95.59,92.48,92.92,952508
2018-06-01,92.84,92.84,87.45,88.09,2749791
2018-06-04,87.78,87.82,83.86,85.3,4286005
2018-06-05,85.29,85.36,82.62,83.99,2325986
2018-06-06,84.22,84.83,82.45,83.67,1766302
2018-06-07,84.11,86.31,84.07,85.6,2150794
2018-06-08,85.6,86.23,84.3,85.59,1050290
2018-06-11,86.41,87.9,85.55,87.25,1574922
2018-06-12,88.02,90.84,87.3,89.88,2322976
2018-06-13,89.16,92.42,88.62,88.7,1495672
2018-06-14,89.54,89.73,86.32,86.55,1188975
2018-06-15,86.27,86.63,84.79,85.06,2184328
2018-06-18,85.32,91.19,85.21,89.92,2848262
2018-06-19,88.97,94.34,88.75,93.07,3103156
2018-06-20,93.96,96.01,91.17,95.09,3259339
2018-06-21,95.33,96.99,92.97,93.77,3459076
2018-06-22,97.3,98.81,96.0,97.69,3710450
2018-06-25,97.14,98.34,94.36,95.18,2427728
2018-06-26,95.4,99.18,95.3,98.56,1477070
2018-06-27,99.97,101.83,99.03,100.48,1665322
2018-06-28,100.61,101.29,99.16,100.92,1842911
2018-06-29,101.05,103.91,100.84,101.74,1479432
2018-07-02,100.85,101.5,97.05,97.66,1605380
2018-07-03,99.19,99.88,97.24,97.98,1040745
2018-07-05,98.46,99.16,97.08,98.58,1070840
2018-07-06,97.63,103.53,97.63,100.56,1119569
2018-07-09,101.24,102.39,100.11,102.01,1009784
2018-07-10,103.11,103.73,100.92,102.1,942792
2018-07-11,101.26,102.66,99.79,100.54,1012798
2018-07-12,100.77,101.07,99.19,99.32,917869
2018-07-13,99.0,100.86,98.75,99.97,886068
2018-07-16,98.42,98.58,96.28,97.92,776066
2018-07-17,97.2,98.08,96.27,97.39,685422
2018-07-18,96.53,96.53,94.17,95.52,1722484
2018-07-19,95.58,96.68,94.47,96.41,1231863
2018-07-20,96.52,97.04,95.46,96.75,1059485
2018-07-23,96.87,97.62,96.0,96.76,824312
2018-07-24,96.93,99.31,96.72,97.93,1090569
2018-07-25,97.82,98.99,96.94,98.36,981491
2018-07-26,98.77,99.76,98.57,99.28,974714
2018-07-27,98.76,100.96,98.45,99.01,611692
2018-07-30,100.18,100.89,99.78,100.35,653418
2018-07-31,100.02,100.17,96.58,98.6,1046480
2018-08-01,97.45,98.26,95.16,96.45,1215558
2018-08-02,95.82,96.78,94.32,96.13,826871
2018-08-03,96.06,96.42,93.14,94.03,1133010
2018-08-06,94.2,95.74,93.39,95.04,957109
2018-08-07,96.62,98.05,94.93,97.34,1723948
2018-08-08,90.0,92.75,87.74,88.95,5573820
2018-08-09,87.77,90.37,87.64,88.87,2538869
2018-08-10,88.55,90.11,87.83,89.99,1693466
2018-08-13,89.45,89.66,86.36,86.53,1700613
2018-08-14,87.57,88.01,85.09,86.01,923546
2018-08-15,85.63,85.63,80.53,83.22,2423021
2018-08-16,83.72,84.21,82.5,83.45,1902469
2018-08-17,83.76,84.28,81.39,82.25,1194752
2018-08-20,81.58,82.51,80.8,82.37,1227003
2018-08-21,83.29,84.3,82.73,83.72,824676
2018-08-22,84.21,84.9,83.51,84.0,1040558
2018-08-23,83.61,83.77,82.67,83.03,715384
2018-08-24,83.84,84.35,83.42,83.9,794806
2018-08-27,83.99,84.83,83.68,84.18,498597
2018-08-28,84.11,84.9,83.47,83.61,802768
2018-08-29,83.94,84.55,83.43,83.83,750621
2018-08-30,83.73,85.32,83.59,84.98,808120
2018-08-31,84.91,85.56,83.83,84.48,1290830
2018-09-04,85.16,85.51,83.61,84.13,719807
2018-09-05,83.29,86.51,82.18,86.13,1390992
2018-09-06,85.7,86.7,85.06,85.47,1747765
2018-09-07,84.16,84.49,82.86,83.59,1424775
2018-09-10,83.94,86.19,83.94,84.54,1035553
2018-09-11,84.36,86.92,84.36,86.02,1302747
2018-09-12,87.27,89.88,87.23,89.17,1942354
2018-09-13,88.96,89.86,88.05,89.37,1094726
2018-09-14,89.48,92.19,89.48,91.69,1327323
2018-09-17,92.14,92.86,90.74,91.18,783394
2018-09-18,92.0,92.5,89.71,90.43,1305790
2018-09-19,90.56,93.24,90.38,92.87,1225449
2018-09-20,93.19,93.66,90.23,90.44,2081012
2018-09-21,90.85,92.58,90.16,92.34,1593469
2018-09-24,93.99,95.02,92.84,94.62,1121024
2018-09-25,95.05,95.61,94.37,94.54,1098859
2018-09-26,93.49,94.58,92.89,93.12,864580
2018-09-27,93.72,94.74,92.67,93.97,1552704
2018-09-28,93.3,94.94,92.91,92.94,1140348
2018-10-01,93.08,96.74,92.85,95.45,1303418
2018-10-02,95.71,96.29,94.96,96.23,879791
2018-10-03,96.36,98.61,96.08,98.52,1135569
2018-10-04,98.01,99.27,97.47,98.12,1004763
2018-10-05,98.25,99.53,97.02,99.18,1726131
2018-10-08,98.11,100.15,96.07,99.25,1511893
2018-10-09,99.36,101.19,98.96,100.44,1506168
2018-10-10,100.64,100.92,96.82,97.08,1597786
2018-10-11,96.01,96.51,93.8,94.56,1739011
2018-10-12,95.98,96.76,90.63,93.03,1900813
2018-10-15,93.52,94.49,91.62,92.82,1461115
2018-10-16,93.28,93.75,91.64,93.24,1261284
2018-10-17,92.98,93.87,91.23,92.25,1253879
2018-10-18,91.23,92.67,89.71,90.89,1301345
2018-10-19,91.15,93.5,91.14,91.65,942227
2018-10-22,91.53,91.56,89.6,89.82,872579
2018-10-23,88.3,88.3,85.13,86.5,1120386
2018-10-24,87.32,87.55,82.66,82.77,1215547
2018-10-25,83.65,84.14,81.98,82.83,1248158
2018-10-26,81.83,83.0,79.9,81.93,900333
2018-10-29,82.06,83.14,77.63,78.52,2211161
2018-10-30,77.97,79.85,77.82,79.0,2121941
2018-10-31,79.95,81.01,78.74,79.47,3098510
2018-11-01,79.86,81.98,79.52,80.87,2563299
2018-11-02,81.42,81.82,79.99,80.74,1775137
2018-11-05,83.01,83.77,81.77,83.41,1739644
2018-11-06,83.52,83.99,82.46,83.15,1692651
2018-11-07,90.12,94.63,88.11,93.19,4050559
2018-11-08,93.67,95.62,90.17,90.61,2450894
